,Epiweek,Netau_HMM_median,Netau_HMM_95%_ci_lower,Netau_HMM_95%_ci_upper,Netau_MSD_median,Netau_MSD_95%_ci_lower,Netau_MSD_95%_ci_upper,c_median,c_95%_ci_lower,c_95%_ci_upper,c_MSD_median,c_MSD_95%_ci_lower,c_MSD_95%_ci_upper,T
17,35.0,,,,,,,1.0,1.0,1.3608176043042892,1.0,1.0,6.5804410464988585,9
18,36.0,,,,,,,1.0,1.0,6.737381122126501,1.0,1.0,9.952231861126641,9
19,37.0,,,,,,,1.0,1.0,5.634586954598053,1.0,1.0,4.319990990081663,9
20,38.0,,,,,,,1.0,1.0,2.0658887510061423,1.0,1.0,1.744725589903039,9
21,39.0,85.85120192444458,21.54842853006421,177.82349833028454,226.42894599707208,59.642687529589026,18389.612601071403,1.0,1.0,4.696895773530013,1.0,1.0,4.009588434796737,9
22,40.0,258.63929586152284,83.90519450905053,640.45886719905,253.386806492019,60.83675359761991,1306.5496280246412,1.0,1.0,3.5070822275866167,1.0,1.0,2.656017962590896,9
23,41.0,1119.281030035496,566.4311488173246,3193.129678351634,,,,1.0,1.0,2.5552131129783042,1.0,1.0,1.6796625109797154,9
24,42.0,,,,,,,1.0,1.0,4.689545196562581,1.0,1.0,3.7638508192682107,9
25,43.0,1014.7722306475775,316.99206569788714,2645.1505799689207,794.0969801400112,695.445604050882,892.7483562291403,1.0264112786012147,1.0,9.722936048680136,1.0,1.0,20.101405507138207,9
26,44.0,1649.6612827642946,435.01551056777237,3961.009773382988,,,,1.0,1.0,2.997289128202104,1.0,1.0,3.0379777706062328,9
27,45.0,1628.5999972871628,524.7551725940085,4161.395373357953,2801.763335531168,2227.5569572358404,4216.287518342139,1.0,1.0,3.6478893565026764,1.0,1.0,2.42973294196678,9
28,46.0,1524.3936751152246,513.0600676239162,3615.9705098983336,2538.0175383062992,487.9853268260579,87249.51619571816,1.0,1.0,3.7565324810886995,1.0,1.0,2.695790594694612,9
29,47.0,1204.946706912035,405.4675674704262,2433.4892190098453,1739.843363104232,640.9385861543524,31837.50257606577,1.0,1.0,4.471589384266774,1.0,1.0,3.923692198870623,9
30,48.0,1351.9611988432794,363.93234166235027,3858.9098440708576,,,,1.0,1.0,2.832856022366177,1.0,1.0,2.428125323748446,9
31,49.0,1684.562475456431,445.3414413852229,4434.494684322877,1519.7445205865451,1519.7445205865451,1519.7445205865451,1.0,1.0,3.6781421558739953,1.0,1.0,3.236468957752678,9
32,50.0,1304.8759425644566,344.2746784450158,3357.02412293806,,,,1.0,1.0,3.7336752061679808,1.0,1.0,3.3892811027444503,9
33,51.0,,,,,,,1.0,1.0,4.005011162065576,1.0,1.0,2.4126072577773208,9
34,52.0,,,,,,,1.0,1.0,2.5764874345945943,1.0,1.0,2.482888615964523,9
35,53.0,,,,,,,1.0,1.0,1.9462061141496008,1.0,1.0,1.5175691706551404,9
36,54.0,,,,,,,1.0,1.0,4.571780786842375,1.0,1.0,3.2765196371838505,9
