,Netau_HMM,Netau_HMM_lower,Netau_HMM_upper
0,2499.1877278893758,2145.5613513663407,2817.488681341843
1,2822.1551670614567,2461.3487790318945,3185.456925222751
2,2602.448060041471,2215.0295691782476,2981.6723227121984
3,2770.1049426005425,2390.080679203017,3115.0179211201284
4,2423.652946765706,2084.8969768098323,2754.078933638298
5,2670.150666793397,2271.906945052451,3034.6169569599633
6,2452.252631439623,2116.2135231955726,2796.3130967489305
7,2671.7036930935014,2290.512767612541,3044.367373643747
8,2456.70632870317,2116.8864601305313,2820.55078180296
9,2638.007777238172,2277.154325065519,2960.664928689235
10,2803.5458741091998,2428.424142188717,3203.805092689545
11,2686.5203599378365,2337.843509259664,3036.781909407814
12,2675.2308864763236,2308.45110780039,3045.1089738092373
13,2488.020211371369,2168.1592908594416,2805.4743260336354
14,2551.920639548066,2189.744257872539,2897.980807060783
15,2474.693566276146,2134.0531080981964,2835.370257053886
16,2662.5092536833426,2284.084614676645,3027.885097973646
17,2500.4730388586004,2159.576123053181,2815.8189085448103
18,2682.7981419362695,2330.244814245279,3034.840553113623
19,2609.4137560927097,2247.5363673414727,2976.644423635499
20,2732.548957896403,2367.6977606989612,3123.390256230013
21,2673.654848237983,2308.566774562855,3044.75438745515
22,2555.656722585959,2207.790861715128,2875.27426345409
23,2518.1174092217457,2170.210092589339,2885.5830106513754
24,2575.202335683726,2226.9810076066806,2888.7472419709275
25,2495.470329101515,2168.0927427924444,2844.2867333848817
26,2663.286216199273,2285.8993143602684,3035.329963847021
27,2616.502058150273,2243.9948960700567,2986.291898520109
28,2616.6964257611903,2249.2861367549426,2972.785624605471
29,2698.936140626025,2342.122815467214,3094.831534193602
30,2537.707360827163,2191.586209745893,2901.133883435403
31,2684.299243948305,2330.244814245279,3040.3178031402654
32,2623.7006189347644,2281.0575490617266,2951.979956811733
33,2784.878606048827,2401.4832688894253,3193.2977824864174
34,2672.004444268797,2339.6705381619163,3028.239465842665
35,2707.24634458292,2341.0184438345427,3113.237014508918
36,2653.043053328226,2284.9150802854124,3023.969157416585
37,2807.463565876055,2419.2998342974493,3227.4235151196413
38,2549.3159275206835,2190.1736450601984,2905.4136883051233
39,2401.960338890336,2064.085307025081,2735.834744773607
40,2468.9755997364205,2105.5109584797174,2833.9303662447646
41,2664.5163414509943,2304.1680988136673,3056.3249472805055
42,2682.6300482068086,2330.244814245279,3038.3507672852274
43,2745.382665137109,2366.057704893901,3128.0442493736073
44,2546.950906933427,2190.5288631988337,2904.355892514187
45,2605.2089654859806,2245.2101393663784,2982.327967714053
46,2649.3727290038883,2285.4897151824866,2965.2161701487066
47,2589.3350705361017,2226.575589805435,2967.1002698558636
48,2677.439980619355,2299.105402989144,3069.067276649803
49,2747.7676504807487,2387.451802570858,3133.2954620959263
50,2403.8601231879084,2065.6161335730226,2729.6025957002694
51,2669.741524949121,2287.4064172585404,3050.6458315042905
52,2787.5009049205587,2402.3221878211198,3201.5430572861806
53,2631.738813782548,2241.2774411624064,3027.3989081053655
54,2602.2444170246727,2232.9275719659727,2968.3101287187937
55,2594.0685471235674,2225.5449306246646,2967.098208406951
56,2538.9692355840857,2191.475320644722,2901.4845411003375
57,2629.3231458909654,2280.938654253693,2992.23292678465
58,2677.8778882338547,2321.7984819042936,3088.1252146101606
59,2677.43641509521,2305.4873128687536,3052.337023584727
60,2641.2195919512897,2271.906945052451,2962.6344877463807
61,2603.6787913102344,2250.7459360573657,2968.608398099383
62,2676.832747664323,2321.989586116068,3069.067276649803
63,2571.945917108991,2215.0295691782476,2888.481333071204
64,2604.771439651586,2247.9512782772304,2975.3403067189806
65,2421.651522293672,2082.6692480105685,2759.412281602788
66,2618.669597698068,2246.327469770921,2980.2723928562605
67,2635.6387173916823,2256.694127363681,2964.1129875748466
68,2407.90697615047,2064.581807811522,2731.2851067497936
69,2567.6899969707524,2218.7799403359127,2888.2013229193253
70,2652.882412507806,2283.359333644822,3017.1661248403584
71,2657.761744271242,2305.076263743118,3053.604144744779
72,2493.083179566398,2152.265071809379,2804.1559260000627
73,2641.897748228741,2271.906945052451,2960.9267807035176
74,2698.4838382490752,2344.3246387852028,3134.832307681911
75,2731.1307982036706,2364.954424688929,3129.8556124823544
76,2631.9223591678324,2280.6290589215146,3012.776313274873
77,2643.4823069317176,2271.906945052451,2959.3620921133784
78,2513.5514911825453,2170.7660324888766,2816.919501432515
79,2645.7401732752537,2284.086327618597,2963.009947878038
80,2732.18792967268,2364.873853614116,3130.1198490577676
81,2631.859995008369,2267.300323864891,3010.831105919714
82,2615.557682573431,2249.4553184479687,2972.3136177630813
83,2561.141071299868,2185.45217630551,2917.3221311420166
84,2642.0354336077717,2271.906945052451,2960.9371888696305
85,2598.857059918946,2230.314338056259,2974.1724530121546
86,2686.204663336938,2337.266073511012,3035.0339969339375
87,2655.633475529803,2302.5418097272286,3059.9893709337075
88,2518.740824468035,2170.1260294824483,2885.5026914350074
89,2511.626763628186,2170.9682151499255,2816.706604625521
90,2568.854258592882,2221.7431815229615,2884.919354919207
91,2586.517977344481,2225.76363830957,2959.5252611661454
92,2658.0642079975073,2283.9981123739644,3043.3708433558218
93,2525.9986206732,2172.7763446233143,2885.2733394851125
94,2668.0781637545647,2287.847011280413,3023.076567254928
95,2627.4156396335666,2264.2178852096245,2950.0083242923524
96,2585.514028192,2227.926968385999,2952.3135349986183
97,2481.4753717633876,2138.3624134290017,2824.995058177375
98,2569.0982031114536,2220.2799567653187,2888.2855020370494
99,2775.4345637746865,2402.657732722104,3117.383475380465
